Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AE1,Antenna,whip_antenna,3.8,24.7,0.0,top
BT1,lipo,TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal,5.9,2.8,90.0,bottom
BZ1,Buzzer,Buzzer_Murata_PKMCS0909E,7.0,17.8,0.0,bottom
C1,10u,C_0402_1005Metric,12.2,20.2,0.0,top
C10,10u,C_0402_1005Metric,2.8,15.7,180.0,top
C11,10u,C_0402_1005Metric,10.7,10.7,-90.0,top
C12,10u,C_0402_1005Metric,3.0,20.3,180.0,top
C13,10u,C_0402_1005Metric,10.1,7.4,0.0,top
C14,10u,C_0402_1005Metric,7.7,4.4,90.0,top
C15,10u,C_0402_1005Metric,6.0,10.9,-90.0,top
C16,1u,C_0402_1005Metric,5.0,5.7,0.0,top
C17,100u,C_0805_2012Metric,3.4,-3.2,180.0,top
C18,1u,C_0402_1005Metric,5.2,10.9,-90.0,top
C19,100u,C_0805_2012Metric,3.4,-5.1,180.0,top
C2,10u,C_0402_1005Metric,7.9,10.4,-90.0,top
C20,3.6p,C_0402_1005Metric,9.6,21.9,90.0,top
C21,4p,C_0402_1005Metric,6.9,20.9,90.0,top
C3,10u,C_0402_1005Metric,9.3,10.7,-90.0,top
C4,68p,C_0402_1005Metric,3.6,21.3,180.0,top
C5,47n,C_0402_1005Metric,4.9,20.4,180.0,top
C6,2.7p,C_0402_1005Metric,8.7,22.1,90.0,top
C7,15p,C_0402_1005Metric,5.6,22.2,180.0,top
C8,6.8p,C_0402_1005Metric,3.5,22.2,180.0,top
C9,470n,C_0402_1005Metric,2.8,14.6,180.0,top
D1,RED,LED_0603_1608Metric,11.1,24.6,180.0,top
D2,1N5819WS,D_SOD-323,12.6,10.0,-90.0,top
D3,1N5819WS,D_SOD-323,10.2,8.9,180.0,top
H1,tooling,toolinghole,12.7,25.9,0.0,top
H2,tooling,toolinghole,10.0,-5.4,0.0,top
J1,Conn_01x04_Socket,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,10.5,9.5,90.0,bottom
J3,Pyros,"TerminalBlock_Phoenix_MPT-0,5-4-2.54_1x04_P2.54mm_Horizontal",7.505,-7.6,0.0,bottom
L1,68n,L_0402_1005Metric,5.5,21.3,0.0,top
L2,10n,L_0402_1005Metric,7.8,22.1,90.0,top
L3,18n,L_0402_1005Metric,5.7,23.05,180.0,top
L4,30n,L_0402_1005Metric,8.3,20.7,0.0,top
Q1,AO3401A,SOT-23,3.4,-0.4,270.0,top
Q2,YJQ3622A,Vishay_PowerPAK_1212-8_Dual,11.6,-1.0925,180.0,top
R1,10k,R_0402_1005Metric,12.4,5.3,90.0,top
R10,1k,R_0402_1005Metric,12.4,3.4,-90.0,top
R2,10k,R_0402_1005Metric,10.4,2.1,-90.0,top
R3,4k7,R_0402_1005Metric,10.8,21.9,90.0,top
R4,33k,R_0402_1005Metric,10.4,23.3,0.0,top
R5,10k,R_0402_1005Metric,8.6,0.5,0.0,top
R6,10k,R_0402_1005Metric,8.6,2.1,-90.0,top
R7,10k,R_0402_1005Metric,7.9,6.7,90.0,top
R8,10k,R_0402_1005Metric,7.9,8.5,90.0,top
R9,1k,R_0402_1005Metric,9.5,2.1,-90.0,top
SW1,BOOT,SW_1TS026A,12.2,22.3,90.0,top
U1,STM32WLE5CBUx,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,8.6,15.8,90.0,top
U2,XC6206P332MR,SOT-23,10.2,5.0,90.0,top
U3,MS5607-02BA,LGA-8_3x5mm_P1.25mm,4.4,8.0,90.0,top
U4,W25Q16JVUXIQ,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,2.8,4.0,0.0,top
U6,BMI270,Bosch_LGA-14_3x2.5mm_P0.5mm,3.1,12.0,90.0,top
Y1,32MHz,Crystal_SMD_2016-4Pin_2.0x1.6mm,3.05,17.8,90.0,top
